IMD Rank,IMD Decile,ITL1,ITL2
31659,10,London,Outer London - South
27102,9,London,Outer London - South
15127,5,London,Outer London - South
10221,4,London,Outer London - South
5258,2,London,Outer London - South
5653,2,London,Outer London - South
13760,5,London,Outer London - South
29264,9,London,Outer London - South
5190,2,London,Outer London - South
10164,4,London,Outer London - South
21838,7,London,Outer London - South
20243,6,London,Outer London - South
13683,5,London,Outer London - South
5464,2,London,Outer London - South
5669,2,London,Outer London - South
12262,4,London,Outer London - South
25550,8,London,Outer London - South
15756,5,London,Outer London - South
27191,9,London,Outer London - South
10344,4,London,Outer London - South
12927,4,London,Outer London - South
8777,3,London,Outer London - South
19873,6,London,Outer London - South
4680,2,London,Outer London - South
13694,5,London,Outer London - South
14261,5,London,Outer London - South
4671,2,London,Outer London - South
3653,2,London,Outer London - South
16136,5,London,Outer London - South
19430,6,London,Outer London - South
14010,5,London,Outer London - South
25070,8,London,Outer London - South
26303,8,London,Outer London - South
8019,3,London,Outer London - South
32019,10,London,Outer London - South
27918,9,London,Outer London - South
33022,10,London,Outer London - South
30751,10,London,Outer London - South
32432,10,London,Outer London - South
31458,10,London,Outer London - South
33723,10,London,Outer London - South
33207,10,London,Outer London - South
31567,10,London,Outer London - South
26652,8,London,Outer London - South
32812,10,London,Outer London - South
29976,9,London,Outer London - South
32972,10,London,Outer London - South
22323,7,London,Outer London - South
27777,9,London,Outer London - South
33690,10,London,Outer London - South
33310,10,London,Outer London - South
29267,9,London,Outer London - South
14127,5,London,Outer London - South
31735,10,London,Outer London - South
31610,10,London,Outer London - South
32392,10,London,Outer London - South
32774,10,London,Outer London - South
25368,8,London,Outer London - South
28305,9,London,Outer London - South
31626,10,London,Outer London - South
22001,7,London,Outer London - South
20978,7,London,Outer London - South
13377,4,London,Outer London - South
7013,3,London,Outer London - South
5367,2,London,Outer London - South
7149,3,London,Outer London - South
26119,8,London,Outer London - South
9335,3,London,Outer London - South
27512,9,London,Outer London - South
13532,5,London,Outer London - South
20099,6,London,Outer London - South
2883,1,London,Outer London - South
21252,7,London,Outer London - South
26783,8,London,Outer London - South
17956,6,London,Outer London - South
33455,10,London,Outer London - South
33484,10,London,Outer London - South
21090,7,London,Outer London - South
4571,2,London,Outer London - South
20571,7,London,Outer London - South
5276,2,London,Outer London - South
11511,4,London,Outer London - South
9701,3,London,Outer London - South
15477,5,London,Outer London - South
17780,6,London,Outer London - South
18346,6,London,Outer London - South
29587,9,London,Outer London - South
12544,4,London,Outer London - South
7393,3,London,Outer London - South
26739,8,London,Outer London - South
32330,10,London,Outer London - South
33532,10,London,Outer London - South
33741,10,London,Outer London - South
33177,10,London,Outer London - South
25562,8,London,Outer London - South
32724,10,London,Outer London - South
33602,10,London,Outer London - South
33638,10,London,Outer London - South
22254,7,London,Outer London - South
29690,9,London,Outer London - South
10763,4,London,Outer London - South
14560,5,London,Outer London - South
17645,6,London,Outer London - South
22391,7,London,Outer London - South
18532,6,London,Outer London - South
19395,6,London,Outer London - South
33604,10,London,Outer London - South
29667,9,London,Outer London - South
26096,8,London,Outer London - South
29489,9,London,Outer London - South
33343,10,London,Outer London - South
31001,10,London,Outer London - South
31542,10,London,Outer London - South
33344,10,London,Outer London - South
33274,10,London,Outer London - South
23437,7,London,Outer London - South
33433,10,London,Outer London - South
25850,8,London,Outer London - South
32693,10,London,Outer London - South
33304,10,London,Outer London - South
30117,9,London,Outer London - South
32289,10,London,Outer London - South
29782,9,London,Inner London - West
15517,5,London,Inner London - West
26814,8,London,Inner London - West
22257,7,London,Inner London - West
8539,3,London,Inner London - West
13533,5,London,Inner London - West
27844,9,London,Inner London - West
22918,7,London,Inner London - West
19709,6,London,Inner London - West
17800,6,London,Inner London - West
3936,2,London,Inner London - West
17240,6,London,Inner London - West
7423,3,London,Inner London - West
17700,6,London,Inner London - West
5711,2,London,Inner London - West
26327,8,London,Inner London - West
11443,4,London,Inner London - West
7837,3,London,Inner London - West
26292,8,London,Inner London - West
5910,2,London,Inner London - West
9932,3,London,Inner London - West
9382,3,London,Inner London - West
4638,2,London,Inner London - West
11769,4,London,Inner London - West
8838,3,London,Inner London - West
17430,6,London,Inner London - West
6413,2,London,Inner London - West
24138,8,London,Inner London - West
25116,8,London,Inner London - West
9672,3,London,Inner London - West
8303,3,London,Inner London - West
20753,7,London,Inner London - West
24123,8,London,Inner London - West
29112,9,London,Inner London - West
28724,9,London,Inner London - West
18678,6,London,Inner London - West
30062,9,London,Inner London - West
24362,8,London,Inner London - West
27899,9,London,Inner London - West
27883,9,London,Inner London - West
21321,7,London,Inner London - West
19652,6,London,Inner London - West
17935,6,London,Inner London - West
5896,2,London,Inner London - West
2029,1,London,Inner London - West
3270,1,London,Inner London - West
17090,6,London,Inner London - West
30114,9,London,Inner London - West
27987,9,London,Inner London - West
19738,6,London,Inner London - West
